Designator,Mid X,Mid Y,Rotation,Layer
,52.025467,-125.426,0.0,top
BT1,119.383467,-129.37,270.0,bottom
C1,134.054586,-113.944809,278.5,bottom
C10,140.871867,-101.9634,278.5,bottom
C11,113.347324,-129.37,0.0,bottom
C2,163.350867,-125.5092,98.5,bottom
C3,150.625467,-121.115,98.5,bottom
C4,154.689467,-94.826,8.5,bottom
C5,137.971752,-99.75319,278.5,bottom
C6,140.973467,-119.337,188.5,bottom
C7,128.400467,-129.37,0.0,bottom
C8,135.691314,-125.66119,278.5,bottom
C9,139.114752,-125.66119,98.5,bottom
D2,107.945,-106.172,0.0,top
D3,120.904,-106.172,0.0,top
D4,133.853,-106.172,0.0,top
D5,117.856,-125.222,0.0,top
D6,130.81,-125.222,0.0,top
D7,143.759,-125.222,0.0,top
D8,113.836085,-118.467454,98.5,bottom
J2_2,68.326,-105.156,90.0,top
J2,68.326,-105.156,98.5,bottom
J3_2,82.55,-103.376,278.5,bottom
J4_2,171.679967,-114.621697,278.5,bottom
J5,106.495269,-121.168482,8.5,bottom
J6,75.979867,-95.7912,90.0,bottom
J7,59.536967,-110.368232,98.5,bottom
J8,144.811367,-129.37,270.0,bottom
J9,170.251535,-124.728399,8.5,bottom
MOUSE-BITE-1MM-SLOT_10,75.415257,-122.509225,81.5,top
MOUSE-BITE-1MM-SLOT_9,63.623676,-114.1356,0.0,top
MOUSE-BITE-1MM-SLOT_8,56.015076,-106.4394,0.0,top
MOUSE-BITE-1MM-SLOT_7,164.714162,-96.133616,359.0,top
MOUSE-BITE-1MM-SLOT_6,57.43821,-97.412916,81.0,top
MOUSE-BITE-1MM-SLOT_5,140.781876,-93.9814,0.0,top
MOUSE-BITE-1MM-SLOT_4,125.784267,-96.1722,0.0,top
MOUSE-BITE-1MM-SLOT_3,94.484676,-96.1792,0.0,top
MOUSE-BITE-1MM-SLOT_2,175.515326,-124.860829,82.0,top
MOUSE-BITE-1MM-SLOT,174.716276,-106.4274,0.0,top
R1,75.455739,-105.194199,98.5,bottom
R10,142.803799,-116.416,8.5,bottom
R11,167.098939,-105.168799,98.5,bottom
R12,125.871595,-105.362,98.5,bottom
R13,123.183387,-121.367018,98.5,bottom
R14,66.576867,-96.9088,167.0,bottom
R15,99.963595,-105.2096,278.5,bottom
R16,129.032,-105.3542,278.5,bottom
R17,90.402068,-114.4856,180.0,bottom
R18,116.233867,-105.113,278.5,bottom
R19,126.408139,-121.399399,278.5,bottom
R2,88.866939,-105.117999,98.5,bottom
R3,166.678268,-124.7726,98.5,bottom
R4,159.947267,-99.931401,188.5,bottom
R5,153.078139,-110.070999,278.5,bottom
R6,159.520466,-103.015928,8.5,bottom
R7,130.711867,-115.3238,278.5,bottom
R8,103.240195,-105.2096,98.5,bottom
R9,113.022339,-105.029199,98.5,bottom
RV1,81.28,-120.182,0.0,top
RV2,89.39,-120.182,0.0,top
RV3_2,159.741967,-112.843697,188.5,bottom
RV4,97.5,-120.182,0.0,top
RV5,81.28,-128.53,0.0,top
RV6,89.354,-128.53,0.0,top
RV7,97.5,-128.53,0.0,top
U1,156.703697,-126.130895,8.5,bottom
U2,146.94018,-105.822346,8.5,bottom
