Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BATTERYMOUNT,9VBatteryClop,1,9VBatteryClop,
BT1,PinHeader_1x02_P2.54mm_Vertical,1,9V Battery,
C1,C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,1,1uF,
"C10, C2, C3, C4, C5, C6, C7, C8, C9",C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal,9,100nF,
C11,CP_Radial_D5.0mm_P2.50mm,1,22uF,
"D2, D3, D4, D5, D6, D7",LED_D5.0mm,6,LED,
D8,D_DO-41_SOD81_P10.16mm_Horizontal,1,5817,
J2_2,Faceplate_Hole_Jack_3.5mm_NoPadNumber,1,Probe In,
J2,EighthInch_PJ398SM_Silkscreen_Courtyard_Only,1,Probe In,
J3_2,Faceplate_Hole_Jack_3.5mm_NoPadNumber,1,Mix_In,
J3,EighthInch_PJ398SM_Silkscreen_Courtyard_Only,1,Mix In,
J4_2,EighthInch_PJ398SM_Silkscreen_Courtyard_Only,1,Out,
J4,Faceplate_Hole_Jack_3.5mm_NoPadNumber,1,Out,
J5,IDC-Header_2x05_P2.54mm_Vertical_Euro_Power_Striped_ThickerText,1,Eurorack_Power_10pin_Unshrouded,
J6,PinHeader_1x02_P2.54mm_Vertical,1,Mix In,
J7,PinHeader_1x02_P2.54mm_Vertical,1,Probe In,
J8,PinHeader_1x03_P2.54mm_Vertical,1,Out,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Vol Pot,
"MOUSE-BITE-1MM-SLOT_10, MOUSE-BITE-1MM-SLOT_9, MOUSE-BITE-1MM-SLOT_8, MOUSE-BITE-1MM-SLOT_7, MOUSE-BITE-1MM-SLOT_6, MOUSE-BITE-1MM-SLOT_5, MOUSE-BITE-1MM-SLOT_4, MOUSE-BITE-1MM-SLOT_3, MOUSE-BITE-1MM-SLOT_2, MOUSE-BITE-1MM-SLOT",mouse-bite-1mm-slot,10,VAL**,
"R1, R10, R12, R13, R14, R15, R16, R17, R18, R19, R2, R5, R6, R7, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,16,1k,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,470,
"R20, R3",R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,2,100K,
R4,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,10k,
"RV1, RV2, RV4, RV5, RV6, RV7",Potentiometer_Runtron_RM-065_Vertical,6,1M,
RV3_2,Pot_9mm_DShaft_Silkscreen_Courtyard_Only,1,100K,
RV3,Faceplate_Hole_Jack_3.5mm_NoPadNumber,1,100K,
U1,DIP-8_W7.62mm,1,LM358,
U2,DIP-14_W7.62mm,1,CD40106BPWR,
