Designator,Mid X,Mid Y,Rotation,Layer
_2,52.025467,-125.426,0.0,top
,174.52197,-99.856,0.0,top
BATTERYMOUNT,120.704267,-114.8666,8.5,bottom
BT1,95.098499,-105.828299,8.5,bottom
C1,123.193467,-122.6898,98.5,bottom
C10,145.317276,-116.563885,188.5,bottom
C11,99.78058,-112.606,0.0,bottom
C2,121.551667,-129.3446,180.0,bottom
C3,126.419267,-122.6644,278.5,bottom
C4,129.238667,-104.587888,278.5,bottom
C5,140.317581,-101.455809,278.5,bottom
C6,139.246267,-122.766,98.5,bottom
C7,126.063667,-104.587888,278.5,bottom
C8,116.284667,-104.587888,278.5,bottom
C9,113.109667,-104.587888,278.5,bottom
D2,107.945,-106.172,0.0,top
D3,120.904,-106.172,0.0,top
D4,133.853,-106.172,0.0,top
D5,117.856,-125.222,0.0,top
D6,130.81,-125.222,0.0,top
D7,143.759,-125.222,0.0,top
D8,90.503667,-114.4602,180.0,bottom
J2_2,68.322246,-105.181122,270.0,top
J2,68.322246,-105.181122,278.5,bottom
J3_2,82.55,-103.376,278.5,bottom
J4_2,159.007467,-126.449,188.5,bottom
J5,106.495269,-121.168482,8.5,bottom
J6,75.979867,-95.7912,90.0,bottom
J7,62.571756,-97.937904,8.5,bottom
J8,147.643267,-129.3446,270.0,bottom
J9,153.643967,-96.245832,98.5,bottom
MOUSE-BITE-1MM-SLOT_10,75.415257,-122.509225,81.5,top
MOUSE-BITE-1MM-SLOT_9,63.623676,-114.1356,0.0,top
MOUSE-BITE-1MM-SLOT_8,56.015076,-106.4394,0.0,top
MOUSE-BITE-1MM-SLOT_7,164.714162,-96.133616,359.0,top
MOUSE-BITE-1MM-SLOT_6,57.43821,-97.412916,81.0,top
MOUSE-BITE-1MM-SLOT_5,140.781876,-93.9814,0.0,top
MOUSE-BITE-1MM-SLOT_4,127.580667,-96.1842,0.0,top
MOUSE-BITE-1MM-SLOT_3,94.484676,-96.1792,0.0,top
MOUSE-BITE-1MM-SLOT_2,175.515326,-124.860829,82.0,top
MOUSE-BITE-1MM-SLOT,174.716276,-106.4274,0.0,top
R1,75.86541,-102.135129,278.5,bottom
R10,154.570324,-100.572472,98.5,bottom
R11,150.84621,-124.766529,278.5,bottom
R12,89.071349,-107.494529,278.5,bottom
R13,101.161749,-107.48665,278.5,bottom
R14,108.715467,-101.43,180.0,bottom
R15,139.13681,-109.120129,278.5,bottom
R16,129.470867,-129.3446,0.0,bottom
R17,134.039267,-110.2946,180.0,bottom
R18,131.978267,-118.9814,180.0,bottom
R19,144.271867,-120.4546,180.0,bottom
R2,89.88621,-102.135129,278.5,bottom
R20,135.319185,-127.58055,98.5,bottom
R3,136.442349,-120.26285,98.5,bottom
R4,151.73521,-118.695929,278.5,bottom
R5,153.587349,-106.92785,278.5,bottom
R6,139.582102,-129.3446,0.0,bottom
R7,152.698349,-112.84605,278.5,bottom
R8,101.978671,-102.135129,278.5,bottom
R9,75.05261,-107.494529,278.5,bottom
RV1,81.28,-120.182,0.0,top
RV2,89.39,-120.182,0.0,top
RV3_2,161.191867,-103.1572,188.5,bottom
RV4,97.5,-120.182,0.0,top
RV5,81.28,-128.53,0.0,top
RV6,89.354,-128.53,0.0,top
RV7,97.5,-128.53,0.0,top
U1,159.541606,-116.296282,98.5,bottom
U2,146.94018,-105.822346,8.5,bottom
